mz	time	LC_Mode	DSSTox Chemical Name	Molecular_formula
153.0912	22.2	HILIC_pos	1-Phenoxy-2-propanol	C9 H12 O2
153.0912	22.2	HILIC_pos	235-Trimethylhydroquinone	C9 H12 O2
185.15419	197.8	C18_neg	Nonyl acetate	C11 H22 O2
210.97736	148.4	HILIC_pos	Stannane butylhydroxyoxo-	C4 H10 O2 Sn
213.07665	21.1	C18_neg	Diethylene glycol diacrylate	C10 H14 O5
215.09215	24.5	C18_neg	2378-Tetrahydro-258-benzotrioxacycloundecine-19-dione	C10 H16 O5
94.06555	20.2	HILIC_pos	Aniline	C6 H7 N
221.15448	194	C18_neg	25-Di-tert-butylbenzene-14-diol	C14 H22 O2
221.15448	194	C18_neg	Isobornyl methacrylate	NA
158.11784	22.4	HILIC_pos	2-(Dimethylamino)ethyl methacrylate	C8 H15 N O2
158.11784	22.4	HILIC_pos	NN-diethyl-3-oxobutyramide	C8 H15 N O2
158.11784	22.4	HILIC_pos	N-(Butoxymethyl)acrylamide	C8 H15 N O2
113.09641	22	HILIC_pos	Cyclohex-3-en-1-ylmethanol	C7 H12 O
197.15422	180.9	C18_neg	2-Ethylhexyl 2-methyl-2-propenoate	C12 H22 O2
197.15422	180.9	C18_neg	Octyl methacrylate	C12 H22 O2
197.15422	180.9	C18_neg	4-tert-Butylcyclohexyl acetate	C12 H22 O2
197.15422	180.9	C18_neg	2-tert-Butylcyclohexyl acetate	C12 H22 O2
163.03933	21.5	C18_neg	2-Norbornene-56-dicarboxylic anhydride	C9 H8 O3
359.20763	178.8	C18_neg	Tributyl citrate	C18 H32 O7
102.12816	16.8	HILIC_pos	Triethylamine	C6 H15 N
159.06558	21.6	C18_neg	Dimethyl glutarate	C7 H12 O4
159.06558	21.6	C18_neg	Heptanedioic acid	C7 H12 O4
133.09723	213.3	HILIC_pos	Sodium N-(2-aminoethyl)-beta-alaninate	NA
212.11832	17.1	HILIC_pos	13-Diphenylguanidine	C13 H13 N3
197.08145	64.7	C18_neg	22-14-Phenylenebis(oxy)diethanol	C10 H14 O4
197.08145	64.7	C18_neg	14-Butanediol diacrylate	C10 H14 O4
197.08145	64.7	C18_neg	Ethylene glycol dimethacrylate	C10 H14 O4
